temperature_2m_mean,temperature_2m_max,temperature_2m_min,relative_humidity_2m_mean,precipitation_sum,rain_sum,weather_code,date,district
13.2,19.4,8.5,47,0.0,0.0,3,2021-01-01,Tehri Garhwal
12.5,17.3,8.0,46,0.2,0.2,51,2021-01-02,Tehri Garhwal
13.8,17.2,10.0,61,1.4,1.4,51,2021-01-03,Tehri Garhwal
15.3,20.2,9.4,65,1.2,1.2,51,2021-01-04,Tehri Garhwal
14.0,15.9,13.1,80,13.3,13.3,63,2021-01-05,Tehri Garhwal
13.9,17.1,11.5,79,9.0,9.0,61,2021-01-06,Tehri Garhwal
13.6,19.4,7.8,63,0.0,0.0,1,2021-01-07,Tehri Garhwal
14.3,20.6,7.4,51,0.0,0.0,1,2021-01-08,Tehri Garhwal
14.7,21.6,8.2,54,0.0,0.0,0,2021-01-09,Tehri Garhwal
14.3,21.1,7.7,62,0.0,0.0,0,2021-01-10,Tehri Garhwal
14.0,21.8,8.0,52,0.0,0.0,0,2021-01-11,Tehri Garhwal
12.9,21.2,8.0,56,0.0,0.0,0,2021-01-12,Tehri Garhwal
12.5,20.6,7.2,67,0.0,0.0,3,2021-01-13,Tehri Garhwal
11.7,18.5,5.8,83,0.0,0.0,3,2021-01-14,Tehri Garhwal
12.7,19.0,7.6,84,0.0,0.0,3,2021-01-15,Tehri Garhwal
13.0,21.1,5.4,81,0.0,0.0,3,2021-01-16,Tehri Garhwal
13.6,18.9,9.6,76,0.0,0.0,1,2021-01-17,Tehri Garhwal
13.1,20.4,7.8,71,0.0,0.0,3,2021-01-18,Tehri Garhwal
13.5,19.6,8.7,62,0.0,0.0,0,2021-01-19,Tehri Garhwal
12.6,19.6,5.8,74,0.0,0.0,0,2021-01-20,Tehri Garhwal
12.4,20.0,5.0,66,0.0,0.0,0,2021-01-21,Tehri Garhwal
12.9,19.3,8.3,75,0.0,0.0,3,2021-01-22,Tehri Garhwal
12.8,19.2,7.7,70,0.0,0.0,3,2021-01-23,Tehri Garhwal
12.6,17.7,9.1,69,1.9,1.9,53,2021-01-24,Tehri Garhwal
12.4,18.1,6.6,66,0.0,0.0,0,2021-01-25,Tehri Garhwal
